NO_OF_FRAMES	2000
NO_OF_CAMERAS	10
NO_OF_MARKERS	16
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2026-01-19, 10:24:53.089	2063941.29639670
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005	New 0006	New 0007	New 0008	New 0009	New 0010	New 0011	New 0012	New 0013	New 0014	New 0015
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	New 0006 X	New 0006 Y	New 0006 Z	New 0007 X	New 0007 Y	New 0007 Z	New 0008 X	New 0008 Y	New 0008 Z	New 0009 X	New 0009 Y	New 0009 Z	New 0010 X	New 0010 Y	New 0010 Z	New 0011 X	New 0011 Y	New 0011 Z	New 0012 X	New 0012 Y	New 0012 Z	New 0013 X	New 0013 Y	New 0013 Z	New 0014 X	New 0014 Y	New 0014 Z	New 0015 X	New 0015 Y	New 0015 Z	
12	0.11000	522.248	-17.369	1455.123	829.788	223.800	22.572	747.024	150.080	527.112	909.628	155.813	55.239	905.821	-210.242	61.100	1263.748	-2.270	1467.039	638.629	120.644	79.682	679.696	-193.633	965.355	624.859	133.334	1505.650	624.504	-169.328	1489.232	641.791	-154.503	77.972	820.988	-272.391	23.875	688.601	-216.253	96.755	691.990	173.230	99.449	723.476	-184.963	521.189	671.244	172.209	981.857
13	0.12000	522.219	-17.387	1455.152	829.818	223.805	22.580	746.956	150.072	527.100	909.639	155.818	55.229	905.844	-210.232	61.117	1263.481	-1.994	1467.563	638.646	120.610	79.679	679.646	-193.611	965.410	624.831	133.314	1505.675	624.460	-169.348	1489.220	641.815	-154.543	77.968	821.004	-272.395	23.835	688.615	-216.277	96.777	691.975	173.220	99.444	723.385	-184.743	521.078	671.182	172.204	981.853
14	0.13000	522.184	-17.418	1455.161	829.801	223.788	22.592	746.903	150.064	527.077	909.611	155.808	55.211	905.847	-210.245	61.115	1263.666	-2.257	1466.932	638.656	120.619	79.656	679.581	-193.610	965.422	624.792	133.314	1505.617	624.427	-169.345	1489.209	641.823	-154.527	77.968	821.012	-272.370	23.900	688.633	-216.299	96.810	691.981	173.231	99.446	723.350	-184.688	521.065	671.112	172.211	981.827
15	0.14000	522.150	-17.421	1455.145	829.792	223.792	22.563	746.872	150.080	527.096	909.637	155.800	55.237	905.853	-210.254	61.116	1263.369	-1.981	1467.456	638.653	120.620	79.682	679.515	-193.617	965.455	624.756	133.302	1505.621	624.377	-169.354	1489.210	641.829	-154.567	77.986	821.043	-272.460	23.962	688.632	-216.242	96.748	691.970	173.227	99.455	723.371	-185.018	521.265	671.067	172.199	981.817
16	0.15000	522.087	-17.440	1455.165	829.784	223.781	22.538	746.828	150.132	527.130	909.657	155.799	55.241	905.874	-210.259	61.141	1263.323	-1.979	1467.416	638.664	120.633	79.673	679.466	-193.615	965.440	624.691	133.295	1505.583	624.332	-169.354	1489.207	641.849	-154.527	78.012	821.057	-272.417	24.002	688.635	-216.271	96.823	691.980	173.232	99.437	723.317	-184.839	521.216	670.969	172.186	981.782
17	0.16000	522.037	-17.436	1455.149	829.798	223.795	22.568	746.824	150.087	527.124	909.652	155.810	55.229	905.885	-210.246	61.151	1263.264	-1.979	1467.383	638.647	120.620	79.677	679.399	-193.631	965.441	624.614	133.286	1505.574	624.266	-169.348	1489.213	641.868	-154.513	78.048	821.106	-272.453	24.014	688.648	-216.340	96.861	691.953	173.218	99.431	723.324	-184.875	521.206	670.923	172.190	981.830
18	0.17000	521.976	-17.444	1455.148	829.810	223.783	22.549	746.797	150.111	527.128	909.655	155.816	55.215	905.886	-210.249	61.160	1263.170	-1.978	1467.327	638.672	120.625	79.692	679.361	-193.623	965.472	624.537	133.287	1505.677	624.193	-169.341	1489.191	641.848	-154.520	78.042	821.111	-272.494	23.982	688.657	-216.308	96.842	691.976	173.209	99.419	723.317	-184.587	520.986	670.849	172.180	981.829
19	0.18000	521.902	-17.457	1455.121	829.801	223.776	22.558	746.783	150.094	527.133	909.667	155.796	55.239	905.893	-210.262	61.152	1263.133	-1.974	1467.307	638.661	120.635	79.644	679.336	-193.642	965.474	624.456	133.270	1505.627	624.124	-169.362	1489.169	641.848	-154.511	77.996	821.078	-272.429	24.012	688.683	-216.288	96.815	691.970	173.200	99.433	723.310	-184.774	521.170	670.803	172.166	981.850
20	0.19000	521.853	-17.473	1455.128	829.788	223.797	22.559	746.772	150.075	527.116	909.670	155.794	55.227	905.894	-210.252	61.141	1263.078	-1.985	1467.325	638.667	120.626	79.673	679.290	-193.640	965.493	624.415	133.276	1505.621	624.034	-169.373	1489.157	641.860	-154.513	77.995	821.105	-272.485	24.065	688.705	-216.362	96.903	691.957	173.197	99.433	723.270	-184.997	521.351	670.740	172.146	981.812
21	0.20000	521.782	-17.466	1455.109	829.798	223.799	22.542	746.731	150.137	527.168	909.692	155.806	55.250	905.895	-210.252	61.154	1263.014	-1.984	1467.354	638.668	120.624	79.677	679.240	-193.620	965.446	624.358	133.250	1505.620	623.954	-169.375	1489.147	641.883	-154.512	78.037	821.135	-272.401	24.046	688.683	-216.306	96.871	691.964	173.179	99.420	723.269	-184.842	521.217	670.665	172.128	981.817
