NO_OF_FRAMES	2000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2026-01-20, 10:34:28
DATA_INCLUDED	Angle
DATA_TYPES	left_q1_YZ	left_q1_XZ	left_q1_XY

Frame	Time	left_q1_YZ	left_q1_XZ	left_q1_XY	
155	1.54000	19.982	7.374	68.590
156	1.55000	20.073	7.350	68.513
157	1.56000	20.125	7.329	68.472
158	1.57000	20.155	7.300	68.454
159	1.58000	20.158	7.263	68.465
160	1.59000	20.138	7.221	68.500
161	1.60000	20.094	7.188	68.553
162	1.61000	20.027	7.166	68.625
163	1.62000	19.932	7.152	68.719
164	1.63000	19.816	7.143	68.833
165	1.64000	19.676	7.157	68.961
166	1.65000	19.514	7.174	69.107
167	1.66000	19.329	7.205	69.271
168	1.67000	19.135	7.221	69.447
169	1.68000	18.917	7.260	69.637
170	1.69000	18.690	7.306	69.833
171	1.70000	18.462	7.342	70.033
172	1.71000	18.224	7.392	70.236
173	1.72000	17.987	7.442	70.435
174	1.73000	17.778	7.628	70.553
175	1.74000	17.509	7.652	70.792
176	1.75000	17.275	7.699	70.987
177	1.76000	17.065	7.817	71.129
178	1.77000	16.878	7.861	71.280
179	1.78000	16.690	7.906	71.432
180	1.79000	16.495	7.944	71.592
181	1.80000	16.300	7.967	71.758
182	1.81000	16.115	7.989	71.916
183	1.82000	15.961	8.006	72.047
184	1.83000	15.834	8.013	72.158
185	1.84000	15.718	8.010	72.264
186	1.85000	15.607	7.989	72.374
187	1.86000	15.500	7.980	72.474
188	1.87000	15.418	7.952	72.561
189	1.88000	15.357	7.934	72.623
190	1.89000	15.318	7.919	72.666
191	1.90000	15.286	7.911	72.699
192	1.91000	15.264	7.913	72.717
193	1.92000	15.248	7.928	72.724
194	1.93000	15.239	7.954	72.720
195	1.94000	15.231	7.994	72.708
196	1.95000	15.221	8.033	72.697
197	1.96000	15.206	8.079	72.688
198	1.97000	15.186	8.129	72.682
199	1.98000	15.176	8.226	72.643
200	1.99000	15.151	8.278	72.639
201	2.00000	15.118	8.329	72.642
202	2.01000	15.081	8.368	72.655
203	2.02000	15.049	8.411	72.661
204	2.03000	15.023	8.457	72.661
205	2.04000	15.006	8.500	72.654
206	2.05000	14.985	8.543	72.650
207	2.06000	14.963	8.574	72.653
208	2.07000	14.937	8.599	72.664
209	2.08000	14.920	8.603	72.676
210	2.09000	14.899	8.602	72.695
211	2.10000	14.882	8.592	72.715
212	2.11000	14.865	8.568	72.742
213	2.12000	14.859	8.546	72.760
214	2.13000	14.847	8.513	72.787
215	2.14000	14.839	8.490	72.806
216	2.15000	14.843	8.457	72.819
217	2.16000	14.841	8.429	72.835
218	2.17000	14.831	8.336	72.892
219	2.18000	14.832	8.302	72.908
220	2.19000	14.832	8.258	72.931
221	2.20000	14.830	8.225	72.949
222	2.21000	14.835	8.177	72.968
223	2.22000	14.842	8.137	72.983
224	2.23000	14.858	8.082	72.996
225	2.24000	14.879	8.028	73.004
226	2.25000	14.901	7.969	73.014
227	2.26000	14.926	7.909	73.021
228	2.27000	14.953	7.852	73.025
229	2.28000	14.983	7.800	73.023
230	2.29000	15.013	7.754	73.018
231	2.30000	15.038	7.705	73.019
232	2.31000	15.058	7.684	73.011
233	2.32000	15.083	7.650	73.004
234	2.33000	15.106	7.627	72.995
235	2.34000	15.125	7.609	72.986
236	2.35000	15.139	7.590	72.983
237	2.36000	15.161	7.573	72.971
238	2.37000	15.185	7.558	72.956
239	2.38000	15.211	7.547	72.937
240	2.39000	15.242	7.534	72.916
241	2.40000	15.268	7.538	72.890
242	2.41000	15.296	7.533	72.867
243	2.42000	15.330	7.530	72.838
244	2.43000	15.369	7.524	72.805
245	2.44000	15.406	7.519	72.774
246	2.45000	15.453	7.502	72.740
247	2.46000	15.506	7.488	72.698
248	2.47000	15.565	7.474	72.651
249	2.48000	15.634	7.453	72.598
250	2.49000	15.713	7.425	72.538
251	2.50000	15.798	7.399	72.473
